"author_id","author","count(*)"
26,"dredmorbius",72
2,"bane",61
58,"michaelochurch",57
0,"tokenadult",49
19,"waps",49
59,"dalke",47
52,"graycat",36
51,"tptacek",31
55,"malandrew",30
33,"sillysaurus3",29
10,"jerf",29
3,"anigbrowl",27
63,"Jugurtha",27
65,"DonHopkins",26
36,"rayiner",25
11,"hga",25
41,"ChuckMcM",23
29,"pdonis",23
30,"peterwwillis",23
64,"saurik",22
67,"Silhouette",22
42,"zackmorris",22
14,"netcan",21
61,"brudgers",20
80,"001sky",19
1,"danso",19
60,"vidarh",19
94,"moron4hire",19
71,"loup-vaillant",18
92,"Snail_Commando",18
54,"Theodores",17
28,"omarhegazy",17
49,"icambron",16
84,"lambda",16
24,"e12e",16
95,"ANTSANTS",16
32,"twic",15
70,"aestra",15
38,"aaronem",15
17,"ACow_Adonis",14
5,"buro9",14
6,"logicallee",14
88,"bad_user",14
73,"dfc",14
96,"lutusp",13
98,"pyduan",13
37,"hagbardgroup",13
53,"tzs",13
87,"sparkie",13
40,"zaroth",13
25,"msandford",13
68,"DigitalSea",12
20,"VLM",12
86,"Mz",12
39,"nnq",12
89,"EGreg",12
57,"patio11",12
77,"userbinator",12
66,"Jemaclus",11
18,"grey-area",11
35,"srean",11
4,"mikeash",11
21,"zanny",11
90,"bertil",11
12,"jjoonathan",11
46,"nostrademons",11
16,"zAy0LfpBZLC8mAC",10
50,"yeukhon",10
100,"noname123",10
22,"kijin",10
7,"AnthonyMouse",10
23,"ColinWright",10
93,"thaumaturgy",10
79,"mindcrime",10
48,"vacri",9
97,"makmanalp",9
34,"unclebucknasty",9
83,"deathanatos",9
8,"jonnathanson",9
27,"rdtsc",9
76,"DanielBMarkham",9
44,"AaronFriel",9
78,"Udo",9
81,"contingencies",8
99,"pron",8
85,"teacup50",8
101,"NextUserName",8
102,"hibikir",8
56,"grellas",8
75,"Bluestrike2",8
91,"derefr",8
45,"InclinedPlane",8
62,"weland",8
82,"yourapostasy",7
69,"exelius",7
72,"chimeracoder",7
74,"rjknight",7
43,"IgorPartola",7
13,"logfromblammo",7
31,"cromwellian",7
47,"Ologn",7
9,"dragonwriter",6
15,"danielweber",6
